管理番号,管理名称,管理担当部課名,組織管理区分１名,利用者名,設置場所,設置場所詳細
24VA258739,海外商用_5GC-SIM_SW_対向,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24VA281706,E500-AS2セル数拡張機能ソフト#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24WA281707,E500-AS2セル数拡張機能ソフト#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24XA1H9619,SAM-MMU用DC電源工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24XA1J8848,UE-SIM_SW(VIAVI,E500-AS2)-10,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24YA299658,FR系開発LAN工事_2503,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
250A0W2149,通研空調#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
250A0W7609,202509_海外商用_QXDM/QCATライ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
250A1W2759,海外商用_電波吸収壁_202601_#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
250A1W3149,DuoSIM-5G VoNR対応SW(基本機能),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
250A1W4539,無停電電源装置（ＵＰＳ）用交換,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA0X6960,商模_N4001_45GSRU_2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1L5910,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1L5920,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1L5930,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4210,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4220,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4230,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4240,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4250,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4260,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4270,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4280,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA0Y3750,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA0Y3760,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1L5911,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1L5921,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1L5931,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1M1590,対向系 NOKIA-LS RET治具 202512,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
